monthDay,selectedDate,selectedAF,selectedStatus,comparisonDate,comparisonAF,comparisonStatus,baselineMeanAF,baselineCount
07-01,2025-07-01,3774577,reported,2021-07-01,1737317,reported,3526753.7333333334,30
07-02,2025-07-02,3756875,reported,2021-07-02,1728437,reported,3514040.466666667,30
07-03,2025-07-03,3738695,reported,2021-07-03,1719274,reported,3559844.827586207,29
07-04,2025-07-04,3721385,reported,2021-07-04,1708085,reported,3487775.933333333,30
07-05,2025-07-05,3703076,reported,2021-07-05,1698470,reported,3474133.7666666666,30
07-06,2025-07-06,3685597,reported,2021-07-06,1687197,reported,3518443.4827586208,29
07-07,2025-07-07,3667935,reported,2021-07-07,1675682,reported,3446771.8666666667,30
07-08,2025-07-08,3648261,reported,2021-07-08,1666808,reported,3432931.966666667,30
07-09,2025-07-09,3630452,reported,2021-07-09,1658575,reported,3419222.8,30
07-10,2025-07-10,3612190,reported,2021-07-10,1650527,reported,3405209.6666666665,30
07-11,2025-07-11,3594008,reported,2021-07-11,1641589,reported,3391086.8,30
07-12,2025-07-12,3578681,reported,2021-07-12,1631047,reported,3376628.3666666667,30
07-13,2025-07-13,3561365,reported,2021-07-13,1620393,reported,3362125.933333333,30
07-14,2025-07-14,3546908,reported,2021-07-14,1612467,reported,3347808.2333333334,30
07-15,2025-07-15,3529444,reported,2021-07-15,1602500,reported,3333345.7666666666,30
07-16,2025-07-16,3512550,reported,2021-07-16,1591827,reported,3318511.7333333334,30
07-17,2025-07-17,3493962,reported,2021-07-17,1582379,reported,3304111.433333333,30
07-18,2025-07-18,3476683,reported,2021-07-18,1571224,reported,3346071.6896551726,29
07-19,2025-07-19,3458210,reported,2021-07-19,1561284,reported,3275761.2666666666,30
07-20,2025-07-20,3440574,reported,2021-07-20,1552687,reported,3317485.0344827585,29
07-21,2025-07-21,3422743,reported,2021-07-21,1543272,reported,3246682.966666667,30
07-22,2025-07-22,3403490,reported,2021-07-22,1534029,reported,3232084.1333333333,30
07-23,2025-07-23,3386521,reported,2021-07-23,1525258,reported,3217116.933333333,30
07-24,2025-07-24,3366446,reported,2021-07-24,1516670,reported,3202442.066666667,30
07-25,2025-07-25,3348153,reported,2021-07-25,1505406,reported,3187515.433333333,30
07-26,2025-07-26,3329922,reported,2021-07-26,1495613,reported,3172817.4,30
07-27,2025-07-27,3311511,reported,2021-07-27,1486442,reported,3157928.066666667,30
07-28,2025-07-28,3296809,reported,2021-07-28,1477999,reported,3118453.4482758623,29
07-29,2025-07-29,3276580,reported,2021-07-29,1468616,reported,3129356.7666666666,30
07-30,2025-07-30,3258792,reported,2021-07-30,1460671,reported,3115518.033333333,30
07-31,2025-07-31,3237967,reported,2021-07-31,1453576,reported,3101521.3,30
08-01,2025-08-01,3220576,reported,2021-08-01,1445000,reported,3087330.933333333,30
08-02,2025-08-02,3204197,reported,2021-08-02,1432604,reported,3073540.6333333333,30
08-03,2025-08-03,3185506,reported,2021-08-03,1423684,reported,3059438.966666667,30
08-04,2025-08-04,3165475,reported,2021-08-04,1414089,reported,3045706.2333333334,30
08-05,2025-08-05,3144834,reported,2021-08-05,1404948,reported,3031880.066666667,30
08-06,2025-08-06,3127097,reported,2021-08-06,1397461,reported,3017708.7,30
08-07,2025-08-07,3110352,reported,2021-08-07,1388402,reported,3004079.8,30
08-08,2025-08-08,3093891,reported,2021-08-08,1380583,reported,2990816.466666667,30
08-09,2025-08-09,3077263,reported,2021-08-09,1373197,reported,2978138.4,30
08-10,2025-08-10,3062547,reported,2021-08-10,1364643,reported,2965966.966666667,30
08-11,2025-08-11,3050150,reported,2021-08-11,1356777,reported,2953589.7,30
08-12,2025-08-12,3036209,reported,2021-08-12,1348830,reported,2941167.1333333333,30
08-13,2025-08-13,3027531,reported,2021-08-13,1340903,reported,2928798.8666666667,30
08-14,2025-08-14,3014573,reported,2021-08-14,1333931,reported,2915578.2,30
08-15,2025-08-15,3003222,reported,2021-08-15,1326724,reported,2904685.033333333,30
08-16,2025-08-16,2993498,reported,2021-08-16,1317192,reported,2893579.8666666667,30
08-17,2025-08-17,2983323,reported,2021-08-17,1309278,reported,2882350.2,30
08-18,2025-08-18,2974323,reported,2021-08-18,1304222,reported,2870941.9,30
08-19,2025-08-19,2964199,reported,2021-08-19,1298296,reported,2859573.933333333,30
08-20,2025-08-20,2956126,reported,2021-08-20,1292369,reported,2848462.566666667,30
08-21,2025-08-21,2946056,reported,2021-08-21,1285969,reported,2867150.9655172415,29
08-22,2025-08-22,2935555,reported,2021-08-22,1277408,reported,2827741.2666666666,30
08-23,2025-08-23,2924647,reported,2021-08-23,1273216,reported,2817725.6333333333,30
